地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注1）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14101583,6917401,7184182,96.3 ,100.00 ,2199.93,6410,-1968,7449121
1,13100,区部,9793163,4800651,4992512,96.2 ,69.45 ,627.51,15606,613,5384674
1,13200,市部,4231176,2077533,2153643,96.5 ,30.00 ,783.95,5397,-2532,2029855
2,13300,郡部,54066,26940,27126,99.3 ,0.38 ,375.86,144,-5,22248
2,13350,島部,23178,12277,10901,112.6 ,0.16 ,412.61,56,-44,12344
1,13100,区部,9793163,4800651,4992512,96.2 ,69.45 ,627.51,15606,613,5384674
4,13101,千代田区,68489,34541,33948,101.7 ,0.49 ,11.66,5874,53,38448
4,13102,中央区,178655,85604,93051,92.0 ,1.27 ,10.21,17498,1538,99201
4,13103,港区,267225,126409,140816,89.8 ,1.90 ,20.36,13125,110,151562
4,13104,新宿区,353880,177583,176297,100.7 ,2.51 ,18.22,19423,-310,231603
4,13105,文京区,245484,118232,127252,92.9 ,1.74 ,11.29,21743,-88,138535
4,13106,台東区,221332,113181,108151,104.7 ,1.57 ,10.11,21892,400,135870
4,13107,墨田区,281366,138669,142697,97.2 ,2.00 ,13.77,20433,116,157986
4,13108,江東区,536597,263167,273430,96.2 ,3.81 ,42.99,12482,-182,279591
4,13109,品川区,423436,208855,214581,97.3 ,3.00 ,22.85,18531,189,242452
4,13110,目黒区,285465,134284,151181,88.8 ,2.02 ,14.67,19459,-47,156364
4,13111,大田区,744849,371847,373002,99.7 ,5.28 ,61.86,12041,-58,409611
4,13112,世田谷区,939178,443171,496007,89.3 ,6.66 ,58.05,16179,-321,496784
4,13113,渋谷区,243668,117621,126047,93.3 ,1.73 ,15.11,16126,27,151882
4,13114,中野区,347341,173998,173343,100.4 ,2.46 ,15.59,22280,114,213627
4,13115,杉並区,589076,284022,305054,93.1 ,4.18 ,34.06,17295,-73,339385
4,13116,豊島区,305784,153616,152168,101.0 ,2.17 ,13.01,23504,-181,190390
4,13117,北区,359413,178686,180727,98.9 ,2.55 ,20.61,17439,-2,197822
4,13118,荒川区,220364,109278,111086,98.4 ,1.56 ,10.16,21689,-146,117332
4,13119,板橋区,586209,286241,299968,95.4 ,4.16 ,32.22,18194,-148,325754
4,13120,練馬区,752974,360899,392075,92.0 ,5.34 ,48.08,15661,-118,383724
4,13121,足立区,696454,347685,348769,99.7 ,4.94 ,53.25,13079,55,361017
4,13122,葛飾区,455442,226223,229219,98.7 ,3.23 ,34.8,13087,-116,225831
4,13123,江戸川区,690482,346839,343643,100.9 ,4.90 ,49.9,13837,-199,339903
1,13200,市部,4231176,2077533,2153643,96.5 ,30.00 ,783.95,5397,-2532,2029855
4,13201,八王子市,576953,289865,287088,101.0 ,4.09 ,186.38,3096,-632,276345
4,13202,立川市,184763,91332,93431,97.8 ,1.31 ,24.36,7585,-109,93053
4,13203,武蔵野市,150249,71983,78266,92.0 ,1.07 ,10.98,13684,23,78768
4,13204,三鷹市,195129,93932,101197,92.8 ,1.38 ,16.42,11884,-56,97260
4,13205,青梅市,130522,65190,65332,99.8 ,0.93 ,103.31,1263,-81,57971
4,13206,府中市,262134,130491,131643,99.1 ,1.86 ,29.43,8907,-245,126410
4,13207,昭島市,114840,57070,57770,98.8 ,0.81 ,17.34,6623,7,54132
4,13208,調布市,243684,117327,126357,92.9 ,1.73 ,21.58,11292,7,123178
4,13209,町田市,431814,210424,221390,95.0 ,3.06 ,71.55,6035,-134,199242
4,13210,小金井市,127125,62184,64941,95.8 ,0.90 ,11.3,11250,-121,64214
4,13211,小平市,200168,97782,102386,95.5 ,1.42 ,20.51,9760,-201,94230
4,13212,日野市,190738,94831,95907,98.9 ,1.35 ,27.55,6923,-117,92875
4,13213,東村山市,151847,73781,78066,94.5 ,1.08 ,17.14,8859,-82,70632
4,13214,国分寺市,131440,63956,67484,94.8 ,0.93 ,11.46,11469,-81,65690
4,13215,国立市,76367,36997,39370,94.0 ,0.54 ,8.15,9370,-73,38821
4,13218,福生市,55842,27891,27951,99.8 ,0.40 ,10.16,5496,-53,28991
4,13219,狛江市,83261,40170,43091,93.2 ,0.59 ,6.39,13030,-189,42540
4,13220,東大和市,83605,40828,42777,95.4 ,0.59 ,13.42,6230,-23,37612
4,13221,清瀬市,76079,36385,39694,91.7 ,0.54 ,10.23,7437,41,35914
4,13222,東久留米市,114717,55140,59577,92.6 ,0.81 ,12.88,8907,-8,52409
4,13223,武蔵村山市,69800,34630,35170,98.5 ,0.49 ,15.32,4556,21,30831
4,13224,多摩市,145876,71181,74695,95.3 ,1.03 ,21.01,6943,-121,70331
4,13225,稲城市,94777,47437,47340,100.2 ,0.67 ,17.97,5274,-61,41661
4,13227,羽村市,53896,27275,26621,102.5 ,0.38 ,9.9,5444,-46,24753
4,13228,あきる野市,78478,38790,39688,97.7 ,0.56 ,73.47,1068,3,33114
4,13229,西東京市,207072,100661,106411,94.6 ,1.47 ,15.75,13147,-201,98878
1,13550,町村部　注２）,77244,39217,38027,103.1 ,0.55 ,788.47,98,-49,34592
2,13300,郡部,54066,26940,27126,99.3 ,0.38 ,375.86,144,-5,22248
