区名,男,女,計,世帯数
北区,67769,72033,139802,88727
都島区,50951,55557,106508,60774
福島区,38594,42717,81311,46432
此花区,31603,32983,64586,35290
中央区,54714,61973,116687,77199
西区,51245,57685,108930,68382
港区,38801,40648,79449,45596
大正区,30368,31294,61662,33939
天王寺区,38377,44969,83346,44425
浪速区,39496,37964,77460,58462
西淀川区,48159,49842,98001,53791
淀川区,91064,92133,183197,111537
東淀川区,84734,86770,171504,103635
東成区,40454,45371,85825,50639
生野区,60904,65172,126076,74937
旭区,43118,47017,90135,50367
城東区,80554,88825,169379,90159
鶴見区,53110,58615,111725,53222
阿倍野区,51649,59965,111614,57685
住之江区,56666,60683,117349,64814
住吉区,70986,80708,151694,83465
東住吉区,62915,69399,132314,72507
平野区,89153,98821,187974,100590
西成区,60603,44419,105022,73890
合計,1335987,1425563,2761550,1600464
,,,,
