地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注1）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14133086,6931780,7201306,96.3 ,100.00 ,2199.94,6424,31503,7493760
1,13100,区部,9821798,4814032,5007766,96.1 ,69.50 ,627.51,15652,28635,5421847
1,13200,市部,4234748,2078918,2155830,96.4 ,29.96 ,783.95,5402,3572,2037683
2,13300,郡部,54044,26921,27123,99.3 ,0.38 ,375.86,144,-22,22285
2,13350,島部,22496,11909,10587,112.5 ,0.16 ,412.61,55,-682,11945
1,13100,区部,9821798,4814032,5007766,96.1 ,69.50 ,627.51,15652,28635,5421847
4,13101,千代田区,68494,34544,33950,101.7 ,0.48 ,11.66,5874,5,38623
4,13102,中央区,180901,86751,94150,92.1 ,1.28 ,10.21,17718,2246,100508
4,13103,港区,267843,126707,141136,89.8 ,1.90 ,20.36,13155,618,152343
4,13104,新宿区,354124,177632,176492,100.6 ,2.51 ,18.22,19436,244,232226
4,13105,文京区,246082,118384,127698,92.7 ,1.74 ,11.29,21796,598,139225
4,13106,台東区,221809,113417,108392,104.6 ,1.57 ,10.11,21940,477,136515
4,13107,墨田区,282218,139037,143181,97.1 ,2.00 ,13.77,20495,852,159084
4,13108,江東区,537118,263257,273861,96.1 ,3.80 ,42.99,12494,521,281067
4,13109,品川区,425219,209792,215427,97.4 ,3.01 ,22.85,18609,1783,244667
4,13110,目黒区,286132,134563,151569,88.8 ,2.02 ,14.67,19505,667,157368
4,13111,大田区,748261,373752,374509,99.8 ,5.29 ,61.86,12096,3412,413890
4,13112,世田谷区,942003,444349,497654,89.3 ,6.67 ,58.05,16227,2825,500090
4,13113,渋谷区,244484,118025,126459,93.3 ,1.73 ,15.11,16180,816,152810
4,13114,中野区,348626,174662,173964,100.4 ,2.47 ,15.59,22362,1285,215254
4,13115,杉並区,591240,284954,306286,93.0 ,4.18 ,34.06,17359,2164,342035
4,13116,豊島区,306748,153965,152783,100.8 ,2.17 ,13.01,23578,964,191496
4,13117,北区,360163,179093,181070,98.9 ,2.55 ,20.61,17475,750,199040
4,13118,荒川区,220858,109594,111264,98.5 ,1.56 ,10.16,21738,494,118020
4,13119,板橋区,588300,287269,301031,95.4 ,4.16 ,32.22,18259,2091,328517
4,13120,練馬区,755145,361745,393400,92.0 ,5.34 ,48.08,15706,2171,386421
4,13121,足立区,697941,348279,349662,99.6 ,4.94 ,53.25,13107,1487,363295
4,13122,葛飾区,456707,226888,229819,98.7 ,3.23 ,34.8,13124,1265,227552
4,13123,江戸川区,691382,347373,344009,101.0 ,4.89 ,49.9,13855,900,341801
1,13200,市部,4234748,2078918,2155830,96.4 ,29.96 ,783.95,5402,3572,2037683
4,13201,八王子市,577009,289761,287248,100.9 ,4.08 ,186.38,3096,56,277141
4,13202,立川市,184879,91402,93477,97.8 ,1.31 ,24.36,7589,116,93473
4,13203,武蔵野市,150551,72135,78416,92.0 ,1.07 ,10.98,13711,302,79222
4,13204,三鷹市,195638,94111,101527,92.7 ,1.38 ,16.42,11915,509,97841
4,13205,青梅市,130422,65140,65282,99.8 ,0.92 ,103.31,1262,-100,58074
4,13206,府中市,262407,130670,131737,99.2 ,1.86 ,29.43,8916,273,126933
4,13207,昭島市,114938,57135,57803,98.8 ,0.81 ,17.34,6628,98,54377
4,13208,調布市,244225,117567,126658,92.8 ,1.73 ,21.58,11317,541,123860
4,13209,町田市,432437,210719,221718,95.0 ,3.06 ,71.55,6044,623,200171
4,13210,小金井市,127324,62235,65089,95.6 ,0.90 ,11.3,11268,199,64511
4,13211,小平市,200007,97718,102289,95.5 ,1.42 ,20.51,9752,-161,94273
4,13212,日野市,191060,94985,96075,98.9 ,1.35 ,27.55,6935,322,93300
4,13213,東村山市,151831,73776,78055,94.5 ,1.07 ,17.14,8858,-16,70838
4,13214,国分寺市,131817,64080,67737,94.6 ,0.93 ,11.46,11502,377,66087
4,13215,国立市,76443,37027,39416,93.9 ,0.54 ,8.15,9380,76,39017
4,13218,福生市,55822,27896,27926,99.9 ,0.39 ,10.16,5494,-20,29019
4,13219,狛江市,83352,40194,43158,93.1 ,0.59 ,6.39,13044,91,42682
4,13220,東大和市,83591,40816,42775,95.4 ,0.59 ,13.42,6229,-14,37713
4,13221,清瀬市,76148,36407,39741,91.6 ,0.54 ,10.23,7444,69,36049
4,13222,東久留米市,114755,55145,59610,92.5 ,0.81 ,12.88,8910,38,52575
4,13223,武蔵村山市,69702,34583,35119,98.5 ,0.49 ,15.32,4550,-98,30929
4,13224,多摩市,146096,71276,74820,95.3 ,1.03 ,21.01,6954,220,70623
4,13225,稲城市,94923,47502,47421,100.2 ,0.67 ,17.97,5282,146,41840
4,13227,羽村市,53705,27160,26545,102.3 ,0.38 ,9.9,5425,-191,24668
4,13228,あきる野市,78448,38781,39667,97.8 ,0.56 ,73.47,1068,-30,33192
4,13229,西東京市,207218,100697,106521,94.5 ,1.47 ,15.75,13157,146,99275
1,13550,町村部　注２）,76540,38830,37710,103.0 ,0.54 ,788.47,97,-704,34230
2,13300,郡部,54044,26921,27123,99.3 ,0.38 ,375.86,144,-22,22285
4,13303,瑞穂町,31267,15775,15492,101.8 ,0.22 ,16.85,1856,9,13502
4,13305,日の出町,16611,8097,8514,95.1 ,0.12 ,28.07,592,-24,6166
4,13307,檜原村,1849,909,940,96.7 ,0.01 ,105.41,18,-3,780
4,13308,奥多摩町,4317,2140,2177,98.3 ,0.03 ,225.53,19,-4,1837
2,13350,島部,22496,11909,10587,112.5 ,0.16 ,412.61,55,-682,11945
3,13360,大島支庁,10601,5438,5163,105.3 ,0.08 ,140.92,75,-312,5380
4,13361,大島町,6404,3294,3110,105.9 ,0.05 ,90.76,71,-212,3313
4,13362,利島村,306,177,129,137.2 ,0.00 ,4.04,76,-23,189
4,13363,新島村,2199,1087,1112,97.8 ,0.02 ,27.54,80,-41,1093
4,13364,神津島村,1692,880,812,108.4 ,0.01 ,18.58,91,-36,785
3,13380,三宅支庁,2334,1312,1022,128.4 ,0.02 ,75.65,31,-95,1397
4,13381,三宅村,2045,1148,897,128.0 ,0.01 ,55.26,37,-85,1229
4,13382,御蔵島村,289,164,125,131.2 ,0.00 ,20.39,14,-10,168
3,13400,八丈支庁,6737,3393,3344,101.5 ,0.05 ,83,81,-171,3712
4,13401,八丈町,6587,3300,3287,100.4 ,0.05 ,72.24,91,-157,3596
4,13402,青ヶ島村,150,93,57,163.2 ,0.00 ,5.95,25,-14,116
3,13420,小笠原支庁,2824,1766,1058,166.9 ,0.02 ,113.04,25,-104,1456
4,13421,小笠原村,2824,1766,1058,166.9 ,0.02 ,113.04,25,-104,1456
,,,,,,,,,,,
東京都の人口（推計）_令和6年4月,,,,,,,,,,,
東京都の人口（推計）令和6年4月1日現在,,,,,,,,,,,
この表は、5年ごとに行われる国勢調査の間の時点における各月の人口を把握するため、令和2年10月1日現在の国勢調査人口（確報値）を基準とし、これに毎月の住民基本台帳人口の増減数を加えて推計したものです。人口総数に対する割合は、四捨五入しているため個々の数を合計しても必ずしも総数に一致しません。なお、世帯数は国勢調査と住民基本台帳上との世帯の定義に若干の相違があるので、参考値として掲げました。,,,,,,,,,,,
注1）面積は、総務局行政部長通知「東京都区市町村別の面積について」による令和6年1月1日時点の数値である。なお、区部には、荒川河口部（1.12k㎡）、中央防波堤外側埋立地(1.20k㎡）、新海面処分場(2.36k㎡）を含み、 八丈支庁には、鳥島（4.79k㎡）、ベヨネース列岩（0.00k㎡）、須美寿島（0.02k㎡）、孀婦岩（0.00k㎡）を含む。,,,,,,,,,,,
注2）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,
