国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,31503,31078,99075,67997,-3035,55420,58455,-5694,6120,11814,9154,24971
総数,1,13100,区部,28635,25796,77254,51458,-1739,41023,42762,-3288,4462,7750,7866,23193
総数,4,13101,千代田区,5,116,610,494,-169,442,611,0,27,27,58,-45
総数,4,13102,中央区,2246,903,1915,1012,1138,2092,954,50,144,94,155,1954
総数,4,13103,港区,618,623,1743,1120,-263,1376,1639,14,159,145,244,413
総数,4,13104,新宿区,244,158,3036,2878,-891,2146,3037,-83,154,237,1060,434
総数,4,13105,文京区,598,638,2161,1523,-159,1318,1477,-63,114,177,182,514
総数,4,13106,台東区,477,423,1641,1218,-90,1195,1285,-86,94,180,230,465
総数,4,13107,墨田区,852,817,2426,1609,-186,1247,1433,-56,171,227,277,696
総数,4,13108,江東区,521,806,3583,2777,-452,2078,2530,-112,278,390,279,274
総数,4,13109,品川区,1783,1690,3702,2012,15,1885,1870,-70,234,304,148,1462
総数,4,13110,目黒区,667,711,2181,1470,-50,1473,1523,-85,126,211,91,581
総数,4,13111,大田区,3412,3416,7433,4017,1,2124,2123,-287,314,601,282,2978
総数,4,13112,世田谷区,2825,2293,6576,4283,247,3579,3332,-212,405,617,497,2410
総数,4,13113,渋谷区,816,650,1529,879,22,1506,1484,-22,130,152,166,610
総数,4,13114,中野区,1285,1116,3073,1957,-157,1952,2109,-108,161,269,434,1051
総数,4,13115,杉並区,2164,1930,4753,2823,-205,2563,2768,-191,237,428,630,1696
総数,4,13116,豊島区,964,810,2870,2060,-345,1827,2172,-104,120,224,603,669
総数,4,13117,北区,750,686,3002,2316,-166,1471,1637,-166,157,323,396,389
総数,4,13118,荒川区,494,472,1619,1147,-68,977,1045,-100,104,204,190,490
総数,4,13119,板橋区,2091,1930,5156,3226,30,2129,2099,-310,215,525,441,1451
総数,4,13120,練馬区,2171,1805,5545,3740,319,2798,2479,-309,347,656,356,1770
総数,4,13121,足立区,1487,1562,4534,2972,-18,1764,1782,-444,271,715,387,1110
総数,4,13122,葛飾区,1265,1321,3318,1997,-60,1286,1346,-264,180,444,268,1067
総数,4,13123,江戸川区,900,920,4848,3928,-232,1795,2027,-280,320,600,492,754
総数,1,13200,市部,3572,5435,21634,16199,-842,14077,14919,-2309,1639,3948,1288,2488
総数,4,13201,八王子市,56,660,3086,2426,-263,1446,1709,-407,183,590,66,-103
総数,4,13202,立川市,116,260,1047,787,-79,707,786,-118,76,194,53,-3
総数,4,13203,武蔵野市,302,361,1098,737,-133,734,867,-18,72,90,92,166
総数,4,13204,三鷹市,509,452,1275,823,43,848,805,-59,86,145,73,448
総数,4,13205,青梅市,-100,4,282,278,-20,334,354,-132,35,167,48,-125
総数,4,13206,府中市,273,531,1532,1001,-267,900,1167,-95,113,208,104,230
総数,4,13207,昭島市,98,114,449,335,4,363,359,-72,47,119,52,63
総数,4,13208,調布市,541,470,1437,967,50,957,907,-101,93,194,122,473
総数,4,13209,町田市,623,799,2427,1628,8,781,773,-265,143,408,81,443
総数,4,13210,小金井市,199,255,823,568,-103,532,635,-31,63,94,78,83
